risk;price;year;mileage;fuel;gearbox;title;city;seller;url;flags
-50;29900;2016;156100;petrol;automatic;Peugeot 308;Suchy Las;Centrum Samochodów Używanych IDEA-AUTO Krzysztof Kaczmarek;https://www.otomoto.pl/osobowe/oferta/peugeot-308-ID6IdcrM.html;GREEN:заявлен без ДТП | GREEN:в описании: сервисная история | GREEN:в описании: заявлен без ДТП
-40;24700;2013;215454;petrol;automatic;Volkswagen Touran 1.4 TSI DSG Highline;Trzemeszno;Auta używane z gwarancją! Zapraszamy KLONOWA 11 - TRZEMESZNO;https://www.otomoto.pl/osobowe/oferta/volkswagen-touran-ID6Idzn6.html;GREEN:заявлен без ДТП | GREEN:в описании: заявлен без ДТП | GREEN:в описании: полная фактура VAT 23%
-38;17700;2006;170000;hybrid;automatic;Honda Civic 1.3i-DSI VTEC IMA CVT Elegance;Margonin;Auto Centrum MŁYNARY;https://www.otomoto.pl/osobowe/oferta/honda-civic-ID6IaCBj.html;GREEN:в описании: сервисная история | GREEN:в описании: гаражное хранение | GREEN:гибрид
-30;18500;2008;138162;petrol;automatic;Toyota Auris 1.6 VVT-i Multimode Sol;Kościan;;https://www.otomoto.pl/osobowe/oferta/toyota-auris-ID6IeMtn.html;GREEN:первый владелец | GREEN:в описании: первый владелец
-27;35900;2017;120000;petrol;automatic;Peugeot 308 PureTech 130 EAT6 Stop & Start GT-Line Edition;Suchy Las;AGA CARS;https://www.otomoto.pl/osobowe/oferta/peugeot-308-ID6IeL8u.html;GREEN:свежий сервис | GREEN:в описании: заявлен без ДТП
-20;19999;2012;105495;petrol;automatic;FIAT 500 1.2 BENZYNA 70 KM • AUTOMAT• panorama dach • po opłatach celnych!;Ostrów Wielkopolski;Marek;https://www.olx.pl/d/oferta/fiat-500-1-2-benzyna-70-km-automat-panorama-dach-po-oplatach-celnych-CID5-ID1chS2K.html;GREEN:сервисная история
-20;24000;2016;173371;petrol;automatic;Ford Focus 1.6 Gold X PowerShift;Poznań;Tylko krajowe, bezwypadkowe,serwisowane auta-Twojeuzywane.pl Centrum Samochodów Dealerskich;https://www.otomoto.pl/osobowe/oferta/ford-focus-ID6I5WLI.html;GREEN:в описании: сервисная история
-20;31000;2016;198565;petrol;automatic;Kia Ceed 1.6 GDI L DCT;Poznań;Tylko krajowe, bezwypadkowe,serwisowane auta-Twojeuzywane.pl Centrum Samochodów Dealerskich;https://www.otomoto.pl/osobowe/oferta/kia-ceed-ID6IfnwA.html;GREEN:в описании: сервисная история
-20;38000;2010;217000;petrol;automatic;Honda CR-V 2.0 Executive;Poznań;;https://www.otomoto.pl/osobowe/oferta/honda-cr-v-ID6IfzdU.html;GREEN:в описании: сервисная история
-15;9555;2009;180000;petrol;automatic;Volkswagen Golf 1.4 TSI DSG Trendline;Kępno;;https://www.otomoto.pl/osobowe/oferta/volkswagen-golf-ID6IcrA7.html;GREEN:в описании: заявлен без ДТП
